p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella argi	0.802668186483264	0.422500625517402	0.448147121791987	-0.000217266565094825	0.959610621741016	0.999224885136091	0.998131608811859
Absiella sp. 9CBEGH2	0.228546823906986	0.305802985560158	0.319003144204292	-0.00168197543051689	0.885154218655473	0.999224885136091	0.998131608811859
Acaryochloris marina	0.197068806660508	0.398270280154353	0.375549534367393	0.0012529944891197	0.885154218655473	0.999224885136091	0.998131608811859
Acetoanaerobium sticklandii	0.847278713694299	0.690653287380996	0.779448926697992	-0.000180890750903839	0.972053560289556	0.999224885136091	0.998131608811859
Acetobacter aceti	0.0189182461575836	0.181280389563311	0.157969371481464	0.00278881034263426	0.885154218655473	0.999224885136091	0.998131608811859
Acetobacter ascendens	0.892473403981913	0.257424820178722	0.282408375650331	-0.00012896952578785	0.980461519837921	0.999224885136091	0.998131608811859
Acetobacter ghanensis	0.794674989375278	0.910904231471591	0.932544943211593	-0.000303296924792791	0.957052305688217	0.999224885136091	0.998131608811859
Acetobacter orientalis	0.193452626779737	0.805709924996117	0.787414218813098	0.00117488046867613	0.885154218655473	0.999224885136091	0.998131608811859
Acetobacter pasteurianus	0.438692933116987	0.95967068119591	0.959650541839935	0.000735030527697461	0.885154218655473	0.999224885136091	0.998131608811859
Acetobacter persici	0.738686622593246	0.360860468396829	0.395059809829361	-0.000280154222595014	0.946452073094298	0.999224885136091	0.998131608811859
Acetobacter senegalensis	0.126848818344767	0.816805186133307	0.782747149234674	0.00170999675494323	0.885154218655473	0.999224885136091	0.998131608811859
Acetobacter sp. KACC 21233	0.786484481742836	0.646136489301012	0.619332395367965	0.000271072149038603	0.955252074204627	0.999224885136091	0.998131608811859
Acetobacter tropicalis	0.821721429424473	0.749099463805465	0.801347169119702	-0.000288092943999629	0.965770290704425	0.999224885136091	0.998131608811859
Acetobacteraceae bacterium	0.533378228857195	0.121220284899235	0.127402519980072	0.000714900440284233	0.897480443745911	0.999224885136091	0.998131608811859
Acetobacterium sp. KB-1	0.401036364159174	0.566830346528072	0.615781210771632	0.000555536982952639	0.885154218655473	0.999224885136091	0.998131608811859
Acetobacterium woodii	0.888357504747598	0.931342897222739	0.932581970780458	-0.000103198921824425	0.980003435583616	0.999224885136091	0.998131608811859
Acetohalobium arabaticum	0.648636230416257	0.367362149081076	0.425461707336058	0.000400438883469221	0.919617539854225	0.999224885136091	0.998131608811859
Acetomicrobium mobile	0.526668867730982	0.772528230021449	0.7002629845591	0.000628954016964886	0.897480443745911	0.999224885136091	0.998131608811859
Acholeplasma axanthum	0.365200516910541	0.642652526471282	0.662269226709053	-0.00099783441174094	0.885154218655473	0.999224885136091	0.998131608811859
Acholeplasma brassicae	0.459149577866262	0.0702323283946479	0.0628240498065706	-0.000823568960270254	0.890820224907655	0.999224885136091	0.998131608811859
Acholeplasma hippikon	0.861764485964809	0.59597764968506	0.642541622878572	-0.000171223873585294	0.974485951352404	0.999224885136091	0.998131608811859
Acholeplasma laidlawii	0.318786055906518	0.604171581752239	0.610314961574183	-0.00131661150059844	0.885154218655473	0.999224885136091	0.998131608811859
Acholeplasma oculi	0.527745673177933	0.808732347405527	0.845207486921365	-0.000653246442899754	0.897480443745911	0.999224885136091	0.998131608811859
Acholeplasma palmae	0.912128146126568	0.732011188163797	0.698690841178592	-0.000136729122633916	0.984049708269065	0.999224885136091	0.998131608811859
Achromobacter denitrificans	0.559107616374631	0.880088719326406	0.970745629269919	0.000557544388504019	0.900905508819669	0.999224885136091	0.998131608811859
Achromobacter insolitus	0.115304494376677	0.756679510396606	0.764977048503597	0.00142485003817051	0.885154218655473	0.999224885136091	0.998131608811859
Achromobacter ruhlandii	0.531051354688753	0.0139588578041015	0.0142986647804226	-0.000895519583211105	0.897480443745911	0.999224885136091	0.998131608811859
