p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella argi	0.336375334279662	0.946830630360328	0.943193751957541	-1.6682246396335e-05	0.998624333716229	0.999805266117852	0.999879189047725
Absiella sp. 9CBEGH2	0.606255758247937	0.955770922042584	0.855196694633852	-1.32738826151978e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acaryochloris marina	0.967151765495472	0.543213507673955	0.320751511321273	-7.26499295687064e-07	0.998624333716229	0.999805266117852	0.999879189047725
Acetoanaerobium sticklandii	0.00899993594479094	0.221819642220172	0.256691869410575	-4.95327092972977e-05	0.940070808087736	0.999805266117852	0.999879189047725
Acetobacter aceti	0.955673558533313	0.496022712620497	0.488702296223888	-1.25852430891079e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacter ascendens	0.235554066178734	0.527278973396985	0.519352802287382	-2.09863687179741e-05	0.971848407385868	0.999805266117852	0.999879189047725
Acetobacter ghanensis	0.135142183643633	0.83365090520688	0.96065144758232	-3.27488516978431e-05	0.96145186321195	0.999805266117852	0.999879189047725
Acetobacter orientalis	0.763659019819228	0.682984676637138	0.965884491255861	-5.1856008522823e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacter pasteurianus	0.319993302416111	0.217947667214855	0.393326805546362	-1.67298473181701e-05	0.998609081880261	0.999805266117852	0.999879189047725
Acetobacter persici	0.516376571938945	0.557984501613837	0.669756400437555	-1.04396663748856e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacter senegalensis	0.952489977445913	0.265206464732855	0.510639155872654	1.20973249839493e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacter sp. KACC 21233	0.883655082780059	0.826067213141977	0.975002246233537	-2.77823300479194e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacter tropicalis	0.386110031633793	0.78227190097382	0.703231886070857	-2.095776946991e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacteraceae bacterium	0.10527191403351	0.667225828863277	0.99714629861161	-3.62573965100607e-05	0.946341427026736	0.999805266117852	0.999879189047725
Acetobacterium sp. KB-1	0.664074621795643	0.705909655068217	0.759262424629372	-5.47251596263909e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetobacterium woodii	0.235410734770378	0.878032340602044	0.731825805413096	-1.68389814031529e-05	0.971848407385868	0.999805266117852	0.999879189047725
Acetohalobium arabaticum	0.822249934853779	0.956057837087147	0.748209038673181	-3.81360225017588e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acetomicrobium mobile	0.0803809860094001	0.918322121417045	0.929644328849575	-3.41448887233949e-05	0.940070808087736	0.999805266117852	0.999879189047725
Acholeplasma axanthum	0.0848413640262017	0.175657645234219	0.164348081824472	-3.83224774229415e-05	0.940070808087736	0.999805266117852	0.999879189047725
Acholeplasma brassicae	0.45131993406269	0.405606020066976	0.654428973912272	-1.58372530310489e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acholeplasma hippikon	0.523820921576098	0.994748072751592	0.872147702309138	-1.25340042968252e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acholeplasma laidlawii	0.0576346267434112	0.479329141423957	0.3789900914269	-5.02889481946626e-05	0.940070808087736	0.999805266117852	0.999879189047725
Acholeplasma oculi	0.159470823231233	0.772569000325042	0.936961438474655	-2.89104099171153e-05	0.96145186321195	0.999805266117852	0.999879189047725
Acholeplasma palmae	0.263258465036588	0.68869046803002	0.721016225488505	-2.78520177482013e-05	0.974329881448429	0.999805266117852	0.999879189047725
Achromobacter denitrificans	0.790266848327191	0.673218131875638	0.482928301602549	-4.69480364547122e-06	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter insolitus	0.87793616638423	0.53336579866254	0.715219080213953	-2.62015744142457e-06	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter ruhlandii	0.168681018173063	0.429277805217625	0.306575834875301	-3.6790149492738e-05	0.96145186321195	0.999805266117852	0.999879189047725
Achromobacter sp. AONIH1	0.720937884759113	0.829731065144565	0.867587328825138	6.02372178044264e-06	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter sp. B7	0.631011311507222	0.918000617428025	0.970780213524508	-8.78135674532694e-06	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter sp. MFA1 R4	0.494858177463284	0.886259448877975	0.977685670142855	-1.19529645588778e-05	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter spanius	0.920026339909335	0.948292312891757	0.921887339636111	-1.65694854747386e-06	0.998624333716229	0.999805266117852	0.999879189047725
Achromobacter xylosoxidans	0.987516693855889	0.572345367085926	0.496815080786639	2.6575518927698e-07	0.998624333716229	0.999805266117852	0.999879189047725
Acidaminococcus fermentans	0.789412921000437	0.598277293350773	0.798104312284661	-3.95150682358498e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidaminococcus intestini	0.625310134398142	0.488164208002318	0.803563223933745	-1.52273314828631e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidianus brierleyi	0.731335610429171	0.87300474711505	0.730963219098185	-9.5176306850529e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidianus manzaensis	0.818068770219963	0.721368616313773	0.85678182647988	-5.27537475809308e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidianus sulfidivorans	0.151694690108332	0.282625837571067	0.185488417013805	-3.64201602321182e-05	0.96145186321195	0.999805266117852	0.999879189047725
Acidibrevibacterium fodinaquatile	0.589632807677729	0.929104195689461	0.969213600370292	-1.19679934718087e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidiferrobacter sp. SPIII_3	0.549298530146041	0.683532365856223	0.945607938377841	-1.1777654737242e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidihalobacter ferrooxidans	0.630241468084022	0.594135933546414	0.710382587534756	-9.17124841504701e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidihalobacter prosperus	0.49996543247004	0.503235652136102	0.511677019319563	-1.2799265141832e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidilobus saccharovorans	0.582169276336057	0.596934126230308	0.75373529426954	-1.64865473189719e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidilobus sp. 7A	0.331182813401066	0.685784169958864	0.607248559559907	-1.72487991416322e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidimicrobium ferrooxidans	0.259762801372811	0.403390662364548	0.361234906826309	-2.48669084420743e-05	0.974038965944133	0.999805266117852	0.999879189047725
Acidiphilium cryptum	0.801191991457925	0.90137593784388	0.855581624926197	8.09621792023357e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidiphilium multivorum	0.868919646018205	0.27364091634582	0.752469509336132	-3.95632540765578e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidipropionibacterium acidipropionici	0.214529368702633	0.63989360591409	0.456739458007808	-2.11367313776986e-05	0.970102118402866	0.999805266117852	0.999879189047725
Acidipropionibacterium jensenii	0.495566102477721	0.621206289019703	0.518773673133296	1.06667251863983e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidipropionibacterium virtanenii	0.934205920151413	0.8328021152076	0.967648644693124	-1.63514812465926e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidisarcina polymorpha	0.74413932385111	0.961394547455882	0.608066813072872	5.18253141051295e-06	0.998624333716229	0.999805266117852	0.999879189047725
Acidithiobacillus caldus	0.420175179839706	0.877597643840922	0.84354892385684	-1.57817373747055e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidithiobacillus ferrivorans	0.329743585780741	0.704154239875982	0.762122993894395	-1.91856198174761e-05	0.998624333716229	0.999805266117852	0.999879189047725
Acidithiobacillus ferrooxidans	0.82323402070279	0.615276140405657	0.862704094070172	5.39380280657802e-06	0.998624333716229	0.999805266117852	0.999879189047725
