p-variable	slope	adjusted.p-variable
Absiella argi	0.225075200843333	0.00182081845299039	0.731835005463114
Absiella sp. 9CBEGH2	0.93777952816723	0.000187705399623282	0.966083693905585
Acaryochloris marina	0.744378594012215	0.000519908040438317	0.88324373029713
Acetoanaerobium sticklandii	0.4497024934739	0.00116895729962641	0.755242950523821
Acetobacter aceti	0.627103591755517	0.0010634636868807	0.82613305527833
Acetobacter ascendens	0.0242225819778102	0.00389674603008731	0.731835005463114
Acetobacter ghanensis	0.393306529433362	0.00175413935943111	0.739990924168953
Acetobacter orientalis	0.533225259721577	0.00105563620965951	0.785215048389857
Acetobacter pasteurianus	0.575287440807407	0.00110058102048266	0.803782703873195
Acetobacter persici	0.168010567201811	0.00203863046395459	0.731835005463114
Acetobacter senegalensis	0.633711648951919	-0.00102256776816294	0.829440166579658
Acetobacter sp. KACC 21233	0.303899630348236	0.00183853058558965	0.731835005463114
Acetobacter tropicalis	0.39831393958621	0.00184583304502522	0.739990924168953
Acetobacteraceae bacterium	0.324950560233873	0.00218353406630078	0.731835005463114
Acetobacterium sp. KB-1	0.188521038540748	0.00157866022376731	0.731835005463114
Acetobacterium woodii	0.125743938818826	0.00172878630442534	0.731835005463114
Acetohalobium arabaticum	0.346338792830295	0.00111874964994245	0.732940846279886
Acetomicrobium mobile	0.260621622367561	0.0018517136069182	0.731835005463114
Acholeplasma axanthum	0.1097778840078	0.00274585939913071	0.731835005463114
Acholeplasma brassicae	0.162736517485232	0.00307234799147636	0.731835005463114
Acholeplasma hippikon	0.744418800352896	-0.000485841830510795	0.88324373029713
Acholeplasma laidlawii	0.162113179372579	0.00294222832644972	0.731835005463114
Acholeplasma oculi	0.252037037944309	0.00200369414493272	0.731835005463114
Acholeplasma palmae	0.934883068545177	0.000131715941731656	0.96509660010663
Achromobacter denitrificans	0.769684498179985	0.000437942240096477	0.8944260543791
Achromobacter insolitus	0.745274520135407	0.00050899590858493	0.883959834168287
Achromobacter ruhlandii	0.0312390463620591	0.00577934577294056	0.731835005463114
Achromobacter sp. AONIH1	0.406051549546388	0.00122496585609305	0.739990924168953
Achromobacter sp. B7	0.505707783074782	0.00106625575870085	0.770762279570279
Achromobacter sp. MFA1 R4	0.15202735084273	0.00237075176093702	0.731835005463114
Achromobacter spanius	0.0797128714821492	0.00249330276756324	0.731835005463114
Achromobacter xylosoxidans	0.355104689162987	0.00153388527472793	0.739505139286347
Acidaminococcus fermentans	0.651919924052741	0.00063926879208704	0.839909814067023
Acidaminococcus intestini	0.535216190897309	0.00156369358146289	0.786134140858151
Acidianus brierleyi	0.188575606294645	0.00259817871655824	0.731835005463114
Acidianus manzaensis	0.714965592926077	0.000600836117282336	0.872207806295684
Acidianus sulfidivorans	0.188694929445823	0.00267305259177071	0.731835005463114
Acidibrevibacterium fodinaquatile	0.239205525292813	0.00212825112684351	0.731835005463114
Acidiferrobacter sp. SPIII_3	0.521339287553165	0.000978877481275079	0.77954346296175
Acidihalobacter ferrooxidans	0.233298159456402	0.0021928885824132	0.731835005463114
Acidihalobacter prosperus	0.123297814875986	0.00257565638130052	0.731835005463114
Acidilobus saccharovorans	0.00537774077321609	0.00722737641843087	0.731835005463114
Acidilobus sp. 7A	0.0424079292726874	0.00396948251874639	0.731835005463114
Acidimicrobium ferrooxidans	0.30688119503116	0.0024503550427659	0.731835005463114
Acidiphilium cryptum	0.479170743274647	-0.00180106295979155	0.766134026468338
Acidiphilium multivorum	0.546976806208038	0.00137633550324684	0.791109162693221
Acidipropionibacterium acidipropionici	0.156116399465548	0.00265910165807961	0.731835005463114
Acidipropionibacterium jensenii	0.553380675597211	0.00101095693735894	0.79454657581227
Acidipropionibacterium virtanenii	0.892516335545404	0.000223691448312745	0.947946836033127
Acidisarcina polymorpha	0.763178924354582	-0.000395404028930367	0.891123626378733
Acidithiobacillus caldus	0.0346776902462338	0.0036096687959746	0.731835005463114
Acidithiobacillus ferrivorans	0.151870296360345	0.00247608681201987	0.731835005463114
Acidithiobacillus ferrooxidans	0.350293282126611	0.00218396352264403	0.734690589456493
Acidithiobacillus thiooxidans	0.240227611989689	0.00212653799088684	0.731835005463114
Acidobacterium capsulatum	0.403693277505338	0.00146852154716777	0.739990924168953
