p-variable	slope	adjusted.p-variable
Absiella argi	0.327309308280605	0.30596159299877	0.91142712957798
Absiella sp. 9CBEGH2	0.61011436846432	-0.253399333999978	0.914954025337866
Acaryochloris marina	0.958003002477045	0.0174096770649649	0.991660734571613
Acetoanaerobium sticklandii	0.40836117245179	0.264575540249752	0.91142712957798
Acetobacter aceti	0.830024376744172	0.0975113882870499	0.964962442110689
Acetobacter ascendens	0.0831569795939521	0.632168089054073	0.91142712957798
Acetobacter ghanensis	0.734651154121149	0.145083542341347	0.941912598524878
Acetobacter orientalis	0.808373854279103	0.0853679778230891	0.960072210853599
Acetobacter pasteurianus	0.817913151688951	0.0939037519176358	0.960094707160035
Acetobacter persici	0.350521249825043	0.288640180212424	0.91142712957798
Acetobacter senegalensis	0.347104113795346	-0.415462865784596	0.91142712957798
Acetobacter sp. KACC 21233	0.23462988752675	0.438848342360608	0.91142712957798
Acetobacter tropicalis	0.813139772251652	0.107646455603135	0.960083732257093
Acetobacteraceae bacterium	0.591855194481745	0.247892951582598	0.912170564350053
Acetobacterium sp. KB-1	0.372146087040314	0.223820915428362	0.91142712957798
Acetobacterium woodii	0.326142923339708	0.232537123435349	0.91142712957798
Acetohalobium arabaticum	0.41015401038055	0.203065903501184	0.91142712957798
Acetomicrobium mobile	0.446016329336599	0.261467028262775	0.91142712957798
Acholeplasma axanthum	0.157069563413566	0.505794439672581	0.91142712957798
Acholeplasma brassicae	0.40019870100218	0.387871615779661	0.91142712957798
Acholeplasma hippikon	0.903733943606839	-0.0373675673709851	0.984666513909346
Acholeplasma laidlawii	0.202793993042179	0.556913730375311	0.91142712957798
Acholeplasma oculi	0.475883250732372	0.260230963871826	0.91142712957798
Acholeplasma palmae	0.841993783617648	0.0665498543005581	0.966658254749615
Achromobacter denitrificans	0.548792437799904	0.185308644536952	0.91142712957798
Achromobacter insolitus	0.59650428757094	0.171549902748707	0.912170564350053
Achromobacter ruhlandii	0.0779043117060934	0.993277707466816	0.91142712957798
Achromobacter sp. AONIH1	0.689420005871112	0.12264097349986	0.933415647074166
Achromobacter sp. B7	0.481750041171083	0.233354794257148	0.91142712957798
Achromobacter sp. MFA1 R4	0.293517245172933	0.363230129007536	0.91142712957798
Achromobacter spanius	0.143175190735851	0.435111616150173	0.91142712957798
Achromobacter xylosoxidans	0.480368696444599	0.243267558295213	0.91142712957798
Acidaminococcus fermentans	0.669228591890779	0.125432159252826	0.931994644972918
Acidaminococcus intestini	0.708084729997632	0.196031192113472	0.93801976482926
Acidianus brierleyi	0.121991628789085	0.629261413931248	0.91142712957798
Acidianus manzaensis	0.733629849630959	0.115994444083294	0.941696693911749
Acidianus sulfidivorans	0.162371101903443	0.58735375852682	0.91142712957798
Acidibrevibacterium fodinaquatile	0.307225271815255	0.383643666484192	0.91142712957798
Acidiferrobacter sp. SPIII_3	0.570394135774092	0.179576281010607	0.912098452511083
Acidihalobacter ferrooxidans	0.153200039204313	0.541311070643556	0.91142712957798
Acidihalobacter prosperus	0.329821513715825	0.341737596230432	0.91142712957798
Acidilobus saccharovorans	0.0220941926416341	1.25835112889551	0.91142712957798
Acidilobus sp. 7A	0.28185013492854	0.447748395560778	0.91142712957798
Acidimicrobium ferrooxidans	0.528970161926261	0.314590095897907	0.91142712957798
Acidiphilium cryptum	0.391420773404426	-0.450892369253065	0.91142712957798
Acidiphilium multivorum	0.969254094750311	0.0183050632428262	0.993116791815978
Acidipropionibacterium acidipropionici	0.367849217016859	0.353553191978243	0.91142712957798
Acidipropionibacterium jensenii	0.632390228511837	0.169205190157475	0.92260322810092
Acidipropionibacterium virtanenii	0.867953416549972	0.0570095706710006	0.973957265563984
Acidisarcina polymorpha	0.764467487986948	-0.0814472955405204	0.946515994259625
Acidithiobacillus caldus	0.102781305408514	0.586928561152034	0.91142712957798
Acidithiobacillus ferrivorans	0.234382127976764	0.428100825881129	0.91142712957798
Acidithiobacillus ferrooxidans	0.73977343055725	0.161997955290234	0.942609061677486
Acidithiobacillus thiooxidans	0.188946104375839	0.49120441464545	0.91142712957798
Acidobacterium capsulatum	0.60052376890734	0.191493538647287	0.912170564350053
Acidothermus cellulolyticus	0.808062946019462	-0.0563710685638189	0.960072210853599
Acidovorax avenae	0.758612589207682	0.103370486266371	0.944863447762419
Acidovorax carolinensis	0.283851011428271	0.367005522148571	0.91142712957798
Acidovorax cattleyae	0.46115112973859	-0.286135252150568	0.91142712957798
Acidovorax citrulli	0.904846547864762	0.0509375878100645	0.984666513909346
Acidovorax ebreus	0.493975047437786	0.304245071471036	0.91142712957798
Acidovorax sp. 1608163	0.927515810886597	0.0239103856286755	0.988018416920598
Acidovorax sp. HDW3	0.12048705597815	0.691213796124522	0.91142712957798
Acidovorax sp. JS42	0.570125160715989	0.266521051760455	0.912098452511083
Acidovorax sp. KKS102	0.425397490541286	0.300744979891842	0.91142712957798
Acidovorax sp. RAC01	0.158962849293761	0.592213909392342	0.91142712957798
Acidovorax sp. T1	0.847199146785083	0.0786690032347856	0.96773987696518
Aciduliprofundum boonei	0.687128572300061	-0.152776678733643	0.933415647074166
Acinetobacter baumannii	0.939724915551997	-0.0208525894140445	0.990133914486338
Acinetobacter baylyi	0.898440007656704	0.0474512650238345	0.984666513909346
Acinetobacter bereziniae	0.202169977067803	0.422799259708083	0.91142712957798
Acinetobacter calcoaceticus	0.867675007204256	-0.0511182857980677	0.973957265563984
Acinetobacter chinensis	0.672301070710291	0.199723744401997	0.933089235007615
Acinetobacter cumulans	0.621830122111386	0.207705914723951	0.92026085337046
Acinetobacter defluvii	0.633609971675661	0.167341694741066	0.922852259584205
Acinetobacter dispersus	0.980452313125071	0.00938860179455095	0.997319538131249
Acinetobacter equi	0.909372654893248	-0.046959305013116	0.984666513909346
Acinetobacter guillouiae	0.243302551009267	0.395633164583477	0.91142712957798
Acinetobacter gyllenbergii	0.850081401205997	0.058381831515774	0.969378832150787
Acinetobacter haemolyticus	0.0888761304982507	0.538087532783725	0.91142712957798
Acinetobacter indicus	0.641524091392389	0.129975563100087	0.925061340366125
Acinetobacter johnsonii	0.38264368496276	0.239168856027506	0.91142712957798
Acinetobacter junii	0.250866276634216	0.436926890883289	0.91142712957798
Acinetobacter larvae	0.223347323924028	-0.371301417099776	0.91142712957798
Acinetobacter lwoffii	0.140222307153987	0.477800554075222	0.91142712957798
