p-variable	slope	adjusted.p-variable
Absiella argi	0.327309308280604	0.305961592998771	0.911427129577979
Absiella sp. 9CBEGH2	0.610114368464319	-0.253399333999978	0.914954025337866
Acaryochloris marina	0.958003002477044	0.0174096770649653	0.991660734571612
Acetoanaerobium sticklandii	0.40836117245179	0.264575540249753	0.911427129577979
Acetobacter aceti	0.830024376744171	0.0975113882870503	0.964962442110687
Acetobacter ascendens	0.0831569795939521	0.632168089054073	0.911427129577979
Acetobacter ghanensis	0.734651154121148	0.145083542341347	0.941912598524877
Acetobacter orientalis	0.808373854279102	0.0853679778230892	0.960072210853598
Acetobacter pasteurianus	0.817913151688951	0.093903751917636	0.960094707160035
Acetobacter persici	0.350521249825042	0.288640180212424	0.911427129577979
Acetobacter senegalensis	0.347104113795346	-0.415462865784595	0.911427129577979
Acetobacter sp. KACC 21233	0.23462988752675	0.438848342360608	0.911427129577979
Acetobacter tropicalis	0.813139772251652	0.107646455603135	0.960083732257094
Acetobacteraceae bacterium	0.591855194481745	0.247892951582599	0.912170564350052
Acetobacterium sp. KB-1	0.372146087040314	0.223820915428363	0.911427129577979
Acetobacterium woodii	0.326142923339708	0.23253712343535	0.911427129577979
Acetohalobium arabaticum	0.410154010380549	0.203065903501185	0.911427129577979
Acetomicrobium mobile	0.446016329336599	0.261467028262775	0.911427129577979
Acholeplasma axanthum	0.157069563413566	0.505794439672581	0.911427129577979
Acholeplasma brassicae	0.40019870100218	0.387871615779661	0.911427129577979
Acholeplasma hippikon	0.903733943606839	-0.037367567370985	0.984666513909346
Acholeplasma laidlawii	0.202793993042178	0.556913730375311	0.911427129577979
Acholeplasma oculi	0.475883250732372	0.260230963871826	0.911427129577979
Acholeplasma palmae	0.841993783617646	0.0665498543005588	0.966658254749614
Achromobacter denitrificans	0.548792437799903	0.185308644536953	0.911427129577979
Achromobacter insolitus	0.596504287570939	0.171549902748708	0.912170564350052
Achromobacter ruhlandii	0.0779043117060935	0.993277707466814	0.911427129577979
Achromobacter sp. AONIH1	0.689420005871111	0.122640973499861	0.933415647074167
Achromobacter sp. B7	0.481750041171082	0.233354794257149	0.911427129577979
Achromobacter sp. MFA1 R4	0.293517245172933	0.363230129007536	0.911427129577979
Achromobacter spanius	0.143175190735851	0.435111616150173	0.911427129577979
Achromobacter xylosoxidans	0.480368696444598	0.243267558295213	0.911427129577979
Acidaminococcus fermentans	0.669228591890777	0.125432159252826	0.931994644972916
Acidaminococcus intestini	0.708084729997631	0.196031192113472	0.938019764829259
Acidianus brierleyi	0.121991628789085	0.629261413931248	0.911427129577979
Acidianus manzaensis	0.733629849630959	0.115994444083294	0.941696693911747
Acidianus sulfidivorans	0.162371101903442	0.58735375852682	0.911427129577979
Acidibrevibacterium fodinaquatile	0.307225271815255	0.383643666484192	0.911427129577979
Acidiferrobacter sp. SPIII_3	0.570394135774091	0.179576281010607	0.912098452511083
Acidihalobacter ferrooxidans	0.153200039204313	0.541311070643556	0.911427129577979
Acidihalobacter prosperus	0.329821513715824	0.341737596230432	0.911427129577979
Acidilobus saccharovorans	0.0220941926416341	1.25835112889551	0.911427129577979
Acidilobus sp. 7A	0.28185013492854	0.447748395560778	0.911427129577979
Acidimicrobium ferrooxidans	0.528970161926261	0.314590095897907	0.911427129577979
Acidiphilium cryptum	0.391420773404426	-0.450892369253065	0.911427129577979
Acidiphilium multivorum	0.96925409475031	0.0183050632428271	0.993116791815979
Acidipropionibacterium acidipropionici	0.367849217016858	0.353553191978244	0.911427129577979
Acidipropionibacterium jensenii	0.632390228511837	0.169205190157476	0.922603228100919
