p-variable	slope	adjusted.p-variable
Absiella argi	0.0437213594864802	0.0315781395859861	0.999950782475981
Absiella sp. 9CBEGH2	0.389664338595905	0.0219400428880866	0.999950782475981
Acaryochloris marina	0.784928125693969	0.00464775513333979	0.999950782475981
Acetoanaerobium sticklandii	0.61902722347345	0.00823467305533778	0.999950782475981
Acetobacter aceti	0.903441975607918	-0.0028413693815903	0.999950782475981
Acetobacter ascendens	0.0357055485645527	0.0390076977488967	0.999950782475981
Acetobacter ghanensis	0.489132061673065	0.0152114692616764	0.999950782475981
Acetobacter orientalis	0.306264617439918	0.0183976951766121	0.999950782475981
Acetobacter pasteurianus	0.22025484086235	0.0254363012930135	0.999950782475981
Acetobacter persici	0.849724467093735	0.0030426603178664	0.999950782475981
Acetobacter senegalensis	0.97001867225932	0.000862994317120046	0.999950782475981
Acetobacter sp. KACC 21233	0.496926436229698	0.013041993563397	0.999950782475981
Acetobacter tropicalis	0.386259625988973	0.020210904155889	0.999950782475981
Acetobacteraceae bacterium	0.426511049856481	0.0188924226920284	0.999950782475981
Acetobacterium sp. KB-1	0.682652428029594	0.00531574028359411	0.999950782475981
Acetobacterium woodii	0.237335169232576	0.0143689771501181	0.999950782475981
Acetohalobium arabaticum	0.936376265967434	0.0010207315734125	0.999950782475981
Acetomicrobium mobile	0.564906121701575	0.0102025974566734	0.999950782475981
Acholeplasma axanthum	0.275274321278325	0.0202503749924798	0.999950782475981
Acholeplasma brassicae	0.322991831920851	0.0234316859483179	0.999950782475981
Acholeplasma hippikon	0.771160008330086	0.00462930137711102	0.999950782475981
Acholeplasma laidlawii	0.390353462677104	0.0195168136416699	0.999950782475981
Acholeplasma oculi	0.61718036602625	0.00942703118425357	0.999950782475981
Acholeplasma palmae	0.882391135297504	-0.00254626976835312	0.999950782475981
Achromobacter denitrificans	0.733138121217164	0.00544403083774381	0.999950782475981
Achromobacter insolitus	0.833989557527639	0.00350821887860559	0.999950782475981
Achromobacter ruhlandii	0.0387706415573245	0.0594006382058196	0.999950782475981
Achromobacter sp. AONIH1	0.943967737584307	-0.00111337079292702	0.999950782475981
Achromobacter sp. B7	0.879919467289157	0.00259426416988533	0.999950782475981
Achromobacter sp. MFA1 R4	0.44309706757319	0.0137350170350557	0.999950782475981
Achromobacter spanius	0.414890337296394	0.0126583858517678	0.999950782475981
