p-variable	slope	adjusted.p-variable
Absiella argi	0.249705356827969	0.0188755697092667	0.99945793425687
Absiella sp. 9CBEGH2	0.378102733099882	0.0229635630189382	0.99945793425687
Acaryochloris marina	0.996348416155182	7.97005131474802e-05	0.99945793425687
Acetoanaerobium sticklandii	0.89691921780933	-0.00219705222448119	0.99945793425687
Acetobacter aceti	0.604777792555848	-0.0123579792881764	0.99945793425687
Acetobacter ascendens	0.0881739157381395	0.0327971865483187	0.99945793425687
Acetobacter ghanensis	0.849498811846857	0.00428150709206831	0.99945793425687
Acetobacter orientalis	0.691804881293683	0.00734323389388245	0.99945793425687
Acetobacter pasteurianus	0.415077960177056	0.0174122375221194	0.99945793425687
Acetobacter persici	0.751493748354889	-0.0051934221573242	0.99945793425687
Acetobacter senegalensis	0.742641655274314	-0.00769676431797847	0.99945793425687
Acetobacter sp. KACC 21233	0.804465139281993	0.0048745369139435	0.99945793425687
Acetobacter tropicalis	0.781427448101575	0.00665434067079853	0.99945793425687
Acetobacteraceae bacterium	0.793624442226443	0.00638394998340257	0.99945793425687
Acetobacterium sp. KB-1	0.747285358127952	-0.00428347149140709	0.99945793425687
Acetobacterium woodii	0.700458530758344	0.00483458878470555	0.99945793425687
Acetohalobium arabaticum	0.622543794296874	-0.0064181555530543	0.99945793425687
Acetomicrobium mobile	0.941300990447288	-0.00133774338486547	0.99945793425687
Acholeplasma axanthum	0.642102413594022	0.00889341282627963	0.99945793425687
Acholeplasma brassicae	0.593266870644989	0.0130210704515941	0.99945793425687
Acholeplasma hippikon	0.657278578019841	-0.00720845446725993	0.99945793425687
Acholeplasma laidlawii	0.799145351703638	0.00594404740328653	0.99945793425687
Acholeplasma oculi	0.899059829649748	-0.00244982493008924	0.99945793425687
Acholeplasma palmae	0.388968503003836	-0.0150527338163094	0.99945793425687
Achromobacter denitrificans	0.994819841912611	0.000106042168127655	0.99945793425687
Achromobacter insolitus	0.876171620519691	-0.00266576394226323	0.99945793425687
Achromobacter ruhlandii	0.0489433643170447	0.0580368413874622	0.99945793425687
Achromobacter sp. AONIH1	0.596159290922978	-0.0085565914144944	0.99945793425687
Achromobacter sp. B7	0.90479184368092	-0.00209904908157791	0.99945793425687
